"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Burkina Faso","BFA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.4","33.904842376709","35.149787902832","36.3795967102051","37.5904808044434","38.7802200317383","39.7","41.1138000488281","42.2687530517578","43.4232292175293","52.4","45.7528495788574","46.936164855957","48.1327438354492","49.3424949645996","50.5653228759766","51.8011283874512","48.5","54.3109512329102","55.5827445983887","56.8630599975586","58","60.2312316894531","62.5839653015137","64.8928604125977","","",
"Bangladesh","BGD","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.060595224431","67.5951919555664","68.7611694335938","75.2","71.0666198730469","72.1985321044922","79.5","74.4033584594727","75.4780502319336","81.2","77.5982131958008","78.6547927856445","79.7164459228516","76.6","82.61","77.799135031235","82.1","85.2095031738281","86.347412109375","90.1","90.2","90.6625366210938","88","90.7","93.7620162963867","94.01","99.5","","",
"Bulgaria","BGR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bahrain","BHR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bahamas, The","BHS","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","96.065547","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bosnia and Herzegovina","BIH","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","99.3","100","100","100","99.7146932952924","100","100","100","100","99.7639282341832","100","100","100","100","100","100","","",
"Belarus","BLR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Belize","BLZ","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","94.4417724609375","94.6292037963867","94.8090591430664","94.9775695800781","95.1309356689453","95.265380859375","95.3786849975586","95.4748306274414","95","95.6379013061523","95.715934753418","95.7990493774414","95.8926773071289","95.9995574951172","98.0671414038657","96.2530059814453","96.3993911743164","96.5587615966797","96.999642510597","96.3133640552995","97.1110610961914","97.31494140625","97.5252075195313","96.9","97.956413269043","98.1734313964844","","",
"Bermuda","BMU","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bolivia","BOL","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.9945678710938","93.281379699707","94.571038","96.038393","93","94.3882675170898","96.7","95.815075","96.1","97.837216","95.81211","94.211133","88.579206","94","96.1581115722656","89.920884","95.170734","98.195281","99.227943","98.874112","98.752571105957","99.079263","99.232931","99.520076","99.310844","99.46435","99.5","99.4","","",
"Brazil","BRA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.538681","98.1487350463867","97.523788","98.033975","98.5644989013672","98.589696","98.915038","99.056926","99.137016","99.186252","99.0293579101563","99.215119","99.426994","99.504184","99.585301","99.634816","99.708742","99.781449","99.821747","99.85168","99.7252044677734","99.898571","99.927418","99.935013","99.945554","99.956197","99.9","100","","",
"Barbados","BRB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.9991073608398","100","99.9697952270508","99.9323120117188","99.8858413696289","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Brunei Darussalam","BRN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bhutan","BTN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.74","97.1413269042969","97.2515335083008","97.4","97.4926071166992","96.776382762131","97.7839584350586","98.73","98.1279907226563","98.3195266723633","99.3055555555556","99.5391006469727","99.6","99.2728042602539","99.4468154907227","99.6935195922852","99.8707885742188","99.1","","",
"Botswana","BWA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5","18.8781986236572","21.3769683837891","23.8681697845459","26.3480167388916","28.8127269744873","31.2585144042969","33.6831550598145","36.0906410217285","38.4865379333496","37","43.2657737731934","45.660228729248","48.0651969909668","50.4834136962891","52.9148941040039","55.359546661377","57.1","60.2879829406738","68.1645431518555","69.13","69.8715362548828","70.2895278930664","72.8111343383789","75.3370132446289","77.8650207519531","80.3933792114258","","",
"Central African Republic","CAF","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","9.45086097717285","10.6769990921021","11.8819875717163","13.0698251724243","15.6","15.4162788391113","16.5860061645508","17.7608108520508","18.9461288452148","20.1446933746338","20.263671875","22.5815277099609","23.8196048736572","25.0706634521484","24.9","29.507791519165","33.3881492614746","36.8946380615234","40.5236129760742","44.422721862793","48.3047561645508","52.142951965332","","",
"Canada","CAN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Central Europe and the Baltics","CEB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Switzerland","CHE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Channel Islands","CHI","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.846714","99.1908721923828","99.107534","99.356689453125","99.4301376342773","99.4922332763672","99.441775","99.5672225952148","99.667146","99.563850402832","99.782113","99.5140991210938","99.485725402832","99.707507","99.4496383666992","99.4501037597656","99.814949","99.4907302856445","99.5307083129883","99.869036","99.6494979858398","99.856911","100","99.8","100","99.876858","100","100","","",
"China","CHN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.0649948120117","99.1787719726563","99.2919235229492","99.4012832641602","99.5030822753906","99.5935211181641","99.668830871582","99.725212097168","99.7604446411133","99.7785263061523","100","99.7854690551758","99.7854461669922","99.7904891967773","99.8060531616211","99.8348617553711","99.8769378662109","99.9334869384766","99.9753570556641","99.9957580566406","100","100","100","100","100","100","100","100","","",
"Cote d'Ivoire","CIV","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.2503448884172","73.0254417960344","73.8028952392628","74.5810199966532","69.5344523524463","76.130892388853","76.8970098502256","77.6566492624235","78.4061743934175","82.4263180176703","79.2971105910967","79.673644962556","83.921390522264","80.4271856818167","80.8092950170133","83.7589051073919","81.5981239556583","81.8963535308404","82.2109277932958","82.5465412570749","82.9101921003114","83.3010699574255","80.4978593474336","84.1680145526259","83.9561824025821","92.6416854858398","92","94.3032684326172","","",
"Cameroon","CMR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","69.3433990478516","70.3360061645508","71.3210372924805","72.2947235107422","73.2532653808594","74.1928863525391","79","76.0126876831055","79","83.95034","78.669319152832","79.5576095581055","77.1","81.3684616088867","73","90.4","84.1838302612305","85.1483688354492","87.3256378173828","87.5","88.2914428710938","89.1252517700195","89.2","91.1604080200195","92.1822509765625","93.2044448852539","","",
"Congo, Dem. Rep.","COD","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","23.7466773986816","25.256441116333","26.7712783813477","28.2966327667236","30","31.3870983123779","36.6","34.5302467346191","36.121337890625","37.7253150939941","39.3417358398438","40.8","42.604419708252","42","45.8926734924316","47.5410652160645","49.189811706543","","",
